"","Tanah","Bangunan","Harga","ratio","cluster","cluster4Tanah","cluster4Bangunan","cluster4Intercept","Prediksi","Error","AbsE"
"1",120,87,760000000,0.725,4,288553.32150693,4487188.0376786,330150123.218971,755161881.077842,-0.00636594595020837,0.00636594595020837
"2",95,60,570000000,0.631578947368421,4,288553.32150693,4487188.0376786,330150123.218971,626793971.022846,0.099638545654116,0.099638545654116
"3",80,60,700000000,0.75,4,288553.32150693,4487188.0376786,330150123.218971,622465671.200242,-0.110763326856797,0.110763326856797
"4",150,90,950000000,0.6,4,288553.32150693,4487188.0376786,330150123.218971,777280044.836085,-0.18181047911991,0.18181047911991
"5",80,50,700000000,0.625,4,288553.32150693,4487188.0376786,330150123.218971,577593790.823456,-0.174866013109348,0.174866013109348
"6",120,88,900000000,0.733333333333333,4,288553.32150693,4487188.0376786,330150123.218971,759649069.11552,-0.155945478760533,0.155945478760533
"7",163,120,975000000,0.736196319018405,4,288553.32150693,4487188.0376786,330150123.218971,915646879.146034,-0.0608749957476578,0.0608749957476578
"8",176,120,975000000,0.681818181818182,4,288553.32150693,4487188.0376786,330150123.218971,919398072.325624,-0.0570276181275654,0.0570276181275654
"9",90,62,600000000,0.688888888888889,4,288553.32150693,4487188.0376786,330150123.218971,634325580.490669,0.0572093008177811,0.0572093008177811
"10",97,67,560000000,0.690721649484536,4,288553.32150693,4487188.0376786,330150123.218971,658781393.92961,0.176395346302875,0.176395346302875
"11",97,67,560000000,0.690721649484536,4,288553.32150693,4487188.0376786,330150123.218971,658781393.92961,0.176395346302875,0.176395346302875
"12",80,60,700000000,0.75,4,288553.32150693,4487188.0376786,330150123.218971,622465671.200242,-0.110763326856797,0.110763326856797
"13",80,60,700000000,0.75,4,288553.32150693,4487188.0376786,330150123.218971,622465671.200242,-0.110763326856797,0.110763326856797
"14",72,45,430000000,0.625,4,288553.32150693,4487188.0376786,330150123.218971,552849424.063008,0.28569633503025,0.28569633503025
"15",82,50,585000000,0.609756097560976,4,288553.32150693,4487188.0376786,330150123.218971,578170897.46647,-0.0116736795444959,0.0116736795444959
"16",81,50,605000000,0.617283950617284,4,288553.32150693,4487188.0376786,330150123.218971,577882344.144963,-0.0448225716612181,0.0448225716612181
"17",126,100,800000000,0.793650793650794,4,288553.32150693,4487188.0376786,330150123.218971,815226645.496705,0.0190333068708813,0.0190333068708813
"18",87,60,550000000,0.689655172413793,4,288553.32150693,4487188.0376786,330150123.218971,624485544.450791,0.135428262637801,0.135428262637801
"19",100,60,600000000,0.6,4,288553.32150693,4487188.0376786,330150123.218971,628236737.630381,0.0470612293839679,0.0470612293839679
"20",118,94,780000000,0.796610169491525,4,288553.32150693,4487188.0376786,330150123.218971,785995090.698578,0.00768601371612579,0.00768601371612579
"21",130,100,775000000,0.769230769230769,4,288553.32150693,4487188.0376786,330150123.218971,816380858.782733,0.0533946564938487,0.0533946564938487
"22",200,130,750000000,0.65,4,288553.32150693,4487188.0376786,330150123.218971,971195232.418576,0.294926976558102,0.294926976558102
"23",176,120,985000000,0.681818181818182,4,288553.32150693,4487188.0376786,330150123.218971,919398072.325624,-0.0666009418013972,0.0666009418013972
"24",95,70,600000000,0.736842105263158,4,288553.32150693,4487188.0376786,330150123.218971,671665851.399632,0.119443085666054,0.119443085666054
"25",130,100,775000000,0.769230769230769,4,288553.32150693,4487188.0376786,330150123.218971,816380858.782733,0.0533946564938487,0.0533946564938487
"26",200,120,950000000,0.6,4,288553.32150693,4487188.0376786,330150123.218971,926323352.04179,-0.0249227873244314,0.0249227873244314
