"","Tanah","Bangunan","Harga","ratio","cluster","cluster3Tanah","cluster3Bangunan","cluster3Intercept","Prediksi","Error","AbsE"
"1",90,45,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0101923340211688,0.0101923340211688
"2",86,36,630000000,0.418604651162791,3,1447300.62712499,5619798.06203134,172457814.478984,499238398.644861,-0.20755809738911,0.20755809738911
"3",90,45,560000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,-0.00784681480063775,0.00784681480063775
"4",150,75,850000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,811037763.200082,-0.0458379256469623,0.0458379256469623
"5",96,50,625000000,0.520833333333333,3,1447300.62712499,5619798.06203134,172457814.478984,592388577.784549,-0.0521782755447208,0.0521782755447208
"6",87,36,595000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.158511429794982,0.158511429794982
"7",150,85,850000000,0.566666666666667,3,1447300.62712499,5619798.06203134,172457814.478984,867235743.820395,0.0202773456710535,0.0202773456710535
"8",86,50,505000000,0.581395348837209,3,1447300.62712499,5619798.06203134,172457814.478984,577915571.513299,0.144387270323365,0.144387270323365
"9",156,80,895000000,0.512820512820513,3,1447300.62712499,5619798.06203134,172457814.478984,847820557.272989,-0.0527144611474988,0.0527144611474988
"10",100,50,500000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,598177780.293049,0.196355560586099,0.196355560586099
"11",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"12",200,90,725000000,0.45,3,1447300.62712499,5619798.06203134,172457814.478984,967699765.486801,0.334758297223174,0.334758297223174
"13",90,45,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0101923340211688,0.0101923340211688
"14",100,45,575000000,0.45,3,1447300.62712499,5619798.06203134,172457814.478984,570078789.982893,-0.00855862611670826,0.00855862611670826
"15",100,45,500000000,0.45,3,1447300.62712499,5619798.06203134,172457814.478984,570078789.982893,0.140157579965786,0.140157579965786
"16",87,50,560000000,0.574712643678161,3,1447300.62712499,5619798.06203134,172457814.478984,579362872.140424,0.0345765573936152,0.0345765573936152
"17",91,50,550000000,0.549450549450549,3,1447300.62712499,5619798.06203134,172457814.478984,585152074.648924,0.0639128629980445,0.0639128629980445
"18",93,45,575000000,0.483870967741935,3,1447300.62712499,5619798.06203134,172457814.478984,559947685.593018,-0.0261779380990994,0.0261779380990994
"19",90,45,535000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0385154835731642,0.0385154835731642
"20",87,36,615000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.185876911752868,0.185876911752868
"21",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"22",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"23",82,38,491000000,0.463414634146341,3,1447300.62712499,5619798.06203134,172457814.478984,504688792.260424,0.0278794139723495,0.0278794139723495
"24",79,36,581000000,0.455696202531646,3,1447300.62712499,5619798.06203134,172457814.478984,489107294.254986,-0.158163004724637,0.158163004724637
"25",112,60,907000000,0.535714285714286,3,1447300.62712499,5619798.06203134,172457814.478984,671743368.438863,-0.259378866109303,0.259378866109303
"26",96,45,651000000,0.46875,3,1447300.62712499,5619798.06203134,172457814.478984,564289587.474393,-0.133195718165295,0.133195718165295
"27",180,92,875000000,0.511111111111111,3,1447300.62712499,5619798.06203134,172457814.478984,949993349.068364,0.0857066846495593,0.0857066846495593
"28",77,38,520000000,0.493506493506494,3,1447300.62712499,5619798.06203134,172457814.478984,497452289.124799,-0.0433609824523102,0.0433609824523102
"29",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"30",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"31",88,38,550000000,0.431818181818182,3,1447300.62712499,5619798.06203134,172457814.478984,513372596.023174,-0.0665952799578663,0.0665952799578663
"32",77,38,520000000,0.493506493506494,3,1447300.62712499,5619798.06203134,172457814.478984,497452289.124799,-0.0433609824523102,0.0433609824523102
"33",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"34",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"35",88,38,550000000,0.431818181818182,3,1447300.62712499,5619798.06203134,172457814.478984,513372596.023174,-0.0665952799578663,0.0665952799578663
"36",100,45,600000000,0.45,3,1447300.62712499,5619798.06203134,172457814.478984,570078789.982893,-0.0498686833618454,0.0498686833618454
"37",166,88,999000000,0.530120481927711,3,1447300.62712499,5619798.06203134,172457814.478984,907251948.040489,-0.0918398918513622,0.0918398918513622
"38",150,75,850000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,811037763.200082,-0.0458379256469623,0.0458379256469623
"39",128,65,700000000,0.5078125,3,1447300.62712499,5619798.06203134,172457814.478984,722999168.783019,0.032855955404313,0.032855955404313
"40",182,90,850000000,0.494505494505495,3,1447300.62712499,5619798.06203134,172457814.478984,941648354.198552,0.107821593174767,0.107821593174767
"41",93,45,575000000,0.483870967741935,3,1447300.62712499,5619798.06203134,172457814.478984,559947685.593018,-0.0261779380990994,0.0261779380990994
"42",97,50,550000000,0.515463917525773,3,1447300.62712499,5619798.06203134,172457814.478984,593835878.411674,0.0797015971121355,0.0797015971121355
"43",72,36,360000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,478976189.865111,0.330489416291975,0.330489416291975
