"","Tanah","Bangunan","Harga","ratio","cluster","cluster3Tanah","cluster3Bangunan","cluster3Intercept","Prediksi","Error","AbsE"
"44",77,45,600000000,0.584415584415584,3,1447300.62712499,5619798.06203134,172457814.478984,536790875.559018,-0.10534854073497,0.10534854073497
"45",87,50,570000000,0.574712643678161,3,1447300.62712499,5619798.06203134,172457814.478984,579362872.140424,0.0164260914744289,0.0164260914744289
"46",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"47",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"48",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"49",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"50",90,45,500000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.111211567423286,0.111211567423286
"51",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"52",90,45,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0101923340211688,0.0101923340211688
"53",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"54",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"55",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"56",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"57",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"58",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"59",90,45,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0101923340211688,0.0101923340211688
"60",90,40,350000000,0.444444444444444,3,1447300.62712499,5619798.06203134,172457814.478984,527506793.401486,0.507162266861389,0.507162266861389
"61",98,45,550000000,0.459183673469388,3,1447300.62712499,5619798.06203134,172457814.478984,567184188.728643,0.0312439795066231,0.0312439795066231
"62",95,45,560000000,0.473684210526316,3,1447300.62712499,5619798.06203134,172457814.478984,562842286.847268,0.00507551222726405,0.00507551222726405
"63",72,36,360000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,478976189.865111,0.330489416291975,0.330489416291975
"64",100,45,550000000,0.45,3,1447300.62712499,5619798.06203134,172457814.478984,570078789.982893,0.0365068908779868,0.0365068908779868
"65",90,45,535000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0385154835731642,0.0385154835731642
"66",104,45,550000000,0.432692307692308,3,1447300.62712499,5619798.06203134,172457814.478984,575867992.491393,0.0470327136207138,0.0470327136207138
"67",87,45,625000000,0.517241379310345,3,1447300.62712499,5619798.06203134,172457814.478984,551263881.830268,-0.117977789071571,0.117977789071571
"68",90,45,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,555605783.711643,0.0101923340211688,0.0101923340211688
"69",114,60,745000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,674637969.693113,-0.0944456782642784,0.0944456782642784
"70",104,45,550000000,0.432692307692308,3,1447300.62712499,5619798.06203134,172457814.478984,575867992.491393,0.0470327136207138,0.0470327136207138
"71",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"72",134,70,800000000,0.522388059701492,3,1447300.62712499,5619798.06203134,172457814.478984,759781962.855926,-0.0502725464300931,0.0502725464300931
"73",134,70,800000000,0.522388059701492,3,1447300.62712499,5619798.06203134,172457814.478984,759781962.855926,-0.0502725464300931,0.0502725464300931
"74",120,70,750000000,0.583333333333333,3,1447300.62712499,5619798.06203134,172457814.478984,739519754.076176,-0.0139736612317654,0.0139736612317654
"75",84,36,630000000,0.428571428571429,3,1447300.62712499,5619798.06203134,172457814.478984,496343797.390611,-0.212152702554586,0.212152702554586
"76",129,60,975000000,0.465116279069767,3,1447300.62712499,5619798.06203134,172457814.478984,696347479.099987,-0.285797457333346,0.285797457333346
"77",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"78",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"79",96,54,650000000,0.5625,3,1447300.62712499,5619798.06203134,172457814.478984,614867770.032675,-0.0540495845651157,0.0540495845651157
"80",80,38,450000000,0.475,3,1447300.62712499,5619798.06203134,172457814.478984,501794191.006174,0.115098202235941,0.115098202235941
"81",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"82",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"83",176,100,950000000,0.568181818181818,3,1447300.62712499,5619798.06203134,172457814.478984,989162531.056115,0.0412237169011736,0.0412237169011736
"84",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"85",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"86",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"87",108,60,750000000,0.555555555555556,3,1447300.62712499,5619798.06203134,172457814.478984,665954165.930363,-0.11206111209285,0.11206111209285
"88",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"89",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"90",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"91",90,51,550000000,0.566666666666667,3,1447300.62712499,5619798.06203134,172457814.478984,589324572.083831,0.0714992219706015,0.0714992219706015
"92",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"93",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"94",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"95",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"96",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"97",90,36,526000000,0.4,3,1447300.62712499,5619798.06203134,172457814.478984,505027601.153361,-0.0398714806970326,0.0398714806970326
"98",98,40,595000000,0.408163265306122,3,1447300.62712499,5619798.06203134,172457814.478984,539085198.418486,-0.0939744564395191,0.0939744564395191
"99",87,36,630000000,0.413793103448276,3,1447300.62712499,5619798.06203134,172457814.478984,500685699.271986,-0.205260794806372,0.205260794806372
"100",100,50,550000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,598177780.293049,0.0875959641691806,0.0875959641691806
"101",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"102",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"103",100,50,575000000,0.5,3,1447300.62712499,5619798.06203134,172457814.478984,598177780.293049,0.0403091831183467,0.0403091831183467
"104",133,70,795000000,0.526315789473684,3,1447300.62712499,5619798.06203134,172457814.478984,758334662.228801,-0.0461199217247792,0.0461199217247792
"105",120,50,720000000,0.416666666666667,3,1447300.62712499,5619798.06203134,172457814.478984,627123792.835549,-0.128994732172848,0.128994732172848
"106",104,45,550000000,0.432692307692308,3,1447300.62712499,5619798.06203134,172457814.478984,575867992.491393,0.0470327136207138,0.0470327136207138
