No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
434,499000000,"Rumah Cluster Cilengkrang Villas House dkt Ujungberung Bandung Timur, Cilengkrang, Bandung","Bandung, Cilengkrang",110,54,3,1
435,"93,478,000,000","Grandsharon Residence Soekarnohatta Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",109,68,3,2
436,"5,535,000,000","RUMAH BARU MURAH GRATIS MOTOR dkt BUAHBATU 10 Menit Tol BUAH BATU BANDUNG TIMUR, Buah Batu, Bandung","Bandung, Buah Batu",83,46,2,1
437,"1,14 M","Rumah Baru Mewah Grandsharon Residence Bandung Timur dkt Arcamanik, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",95,82,3,2
438,"1,7 M","Rumah Siap Huni Puri Dago Sayap Jalan Jakarta Bandung Timur, Antapani, Bandung","Bandung, Antapani",145,180,4,2
439,"1,2 M","Rumah Terawat Tanjung Sari, Kalijati, Antapani, Arcamanik Bandung Timur, Antapani, Bandung","Bandung, Antapani",124,80,3,2
440,560000000,"Rumah Baru Kaladium Cisaranten Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",87,50,2,1
441,890000000,"Rumah Siap Huni Sayap Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",117,64,3,2
442,620000000,"Rumah Baru 3 Unit Arcamanik, Cisaranten, Antapani Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",55,102,3,2
443,550000000,"Rumah Siap Huni Cisaranten, Arcamanik, Antapani Sayap Jalan Jakarta Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",91,50,2,1
444,"2,8 M","Rumah Usaha Perlu Renovasi Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,160,3,2
445,"1,2 M","Rumah HOEK Hitung Tanah Di Arcamanik, Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",208,150,3,2
446,"1,95 M","Rumah Luas Siap Huni Cisaranten Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",182,170,4,3
447,"1,4 M","Rumah Siap Huni Di Setra Dago Antapani Arcamanik Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,100,3,2
448,550000000,"Rumah Baru Kav Geologi, Cisaranten Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",45,96,2,1
449,575000000,"Rumah LUAS NEW Murah Cisaranten, Antapani, Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",93,45,2,1
450,"2,1 M","Rumah Cluster Cigadung Sayap Dago, Bandung Timur, Cigadung, Bandung","Bandung, Cigadung",140,210,3,3
451,"1,2 M","Rumah Cantik Sayap Jalan Jakarta, Antapani Arcamanik Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,120,4,2
452,"1,05 M","Rumah Lama Terawat Sayap Indramayu Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",150,138,4,3
453,780000000,"Rumah Siap Huni Sayap Jalan Jakarta Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",99,70,2,1
454,725000000,"Rumah Sayap Jalan Jakarta Antapani, Arcamanik Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,135,3,2
455,750000000,"Rumah Murah Permata Endah Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",160,60,2,1
456,"1,3 M","Rumah Siap Huni Di Tanjung Sari, Sayap Jalan Jalarta Bandung Timur, Antapani, Bandung","Bandung, Antapani",130,120,3,2
457,"1,6 M","Rumah Siap Huni Mainroad Tanjung Sari Antapani, Jalan Jakarta Bandung Timur, Antapani, Bandung","Bandung, Antapani",160,120,4,2
458,750000000,"Rumah Baru 3 unit di Permata Bumi Cisaranten, Arcamanik, Antapani Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",96,90,3,2
459,"1,3 M","Rumah Siap Huni Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",140,120,6,2
460,"1,9 M","Rumah BARU Cluster Cigadung, Bandung Timur, Cigadung, Bandung","Bandung, Cigadung",112,153,4,3
461,535000000,"Rumah Baru Cisaranten, Arcamanik, Antapani Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",90,45,2,1
462,685000000,"Rumah Siap Huni Di Cisaranten, Arcamanik, Antapani Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",60,96,2,1
463,900000000,"Rumah Setra Dago Siap Huni Antapani Jalan Jakarta Bandung Timur, Antapani, Bandung","Bandung, Antapani",108,67,2,1
464,"1,3 M","Rumah Perlu Renov Puri Dago Sayap Jalan Jakarta Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",108,54,2,1
465,3 M,"Rumah Luas Siap Huni Di Cikutra Bandung Timur, Cikutra, Bandung","Bandung, Cikutra",200,224,5,3
466,"1,2 M","Rumah Siap Huni Tanjung Sari, Kalijati, Antapani, Arcamanik Bandung Timur, Antapani, Bandung","Bandung, Antapani",135,100,4,3
467,"1,28 M","Rumah Idaman Cantik Nuansa tempo doeloe, 2lt  Arcamanik Bandung, Antapani, Bandung","Bandung, Antapani",131,92,3,2
468,615000000,"Rumah Idaman Cantik Nuansa tempo doeloe,Green Caraka Residencen di Arcamanik,Bandung, Arcamanik, Bandung","Bandung, Arcamanik",87,36,2,1
469,630000000,"Hunian Asri nyaman di Arcamanik ,GREEN CARAKA RESIDENCE,BANDUNG, Arcamanik, Bandung","Bandung, Arcamanik",36,87,2,2
470,"1,28 M","Rumah Elite ,nyaman, 2 lt di Arcamanik, Antapani,Bandung Timur, Antapani, Bandung","Bandung, Antapani",143,92,3,2
471,935000000,"Rumah Minimalis 2lantai dekat pusat kota di Arcamanik,Bandung, Arcamanik, Bandung","Bandung, Arcamanik",87.5,73,3,2
472,748000000,"RUMAH MINIMALIS DI ANTAPANI SIAP HUNI,BANDUNG, Antapani, Bandung","Bandung, Antapani",87.5,50,2,1
473,"1,28 M","Rumah Idaman Cantik Nuansa tempo doeloe,Green Caraka Residencen di Arcamanik Bandung, Arcamanik, Bandung","Bandung, Arcamanik",131,92,3,3
474,736000000,"Rumah Mewah dp rendah dekat exit tol cileunyi,Bandung, Cileunyi, Bandung","Bandung, Cileunyi",117,68,3,2
475,353000000,"Rumah Murah cantik dekat exit tol Cileunyi,Bandung, Cileunyi, Bandung","Bandung, Cileunyi",75,40,2,1
476,353000000,"Rumah Murah semi villa dekat exit tol cileunyi,Bandung, Cileunyi, Bandung","Bandung, Cileunyi",75,40,2,1
477,935000000,"Rumah Idaman Cantik Nuansa tempo doeloe,Di Arcamanik,Bandung, Arcamanik, Bandung","Bandung, Arcamanik",87,73,3,2
478,"1,28 M","Rumah Idaman Cantik Nuansa tempo doeloe,Green Caraka Residencen di Arcamanik Bandung, Antapani, Bandung","Bandung, Antapani",131,92,3,2
479,"1,28 M","Rumah Minimalis Mewah 2lt, Di ARCAMANIK BANDUNG, Arcamanik, Bandung","Bandung, Arcamanik",131,92,3,2
480,935000000,"Rumah Idaman Cantik Nuansa tempo doeloe,Gireen Caraka Arcamanik Bandung, Arcamanik, Bandung","Bandung, Arcamanik",87,75,3,2
481,450000000,"RUMAH MURAH cicilan 3 jutaan area di bandung timur yang lokasi nya dekat dengan exit tol cileunyi dan kampus kampus di jatinangor, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
482,450000000,"prunahan paling laku di bandung timur dp discount sampai 70juta, Cileunyi, Bandung","Bandung, Cileunyi",2,40,3,1
483,380000000,"promo perumahan mehwah,murah,di bandung timur, cileunyi dekat  kejatinangor, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
484,380000000,"promo rumah rumah di  bandung timur cileunyi, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
485,3 M,"Rumah mewah murah di bandung timur, Cilengkrang, Bandung","Bandung, Cilengkrang",411,500,5,4
486,360000000,"CLUSTER D&#39;GREEN BIDURI PARAKAMUNCANG, LOKASI STRATEGIS, MEWAH PROMO 0 DP, SUMEDANG { Bandung Timur }, Cimanggu, Sumedang","Sumedang, Cimanggu",72,42,2,1
487,780000000,"Rumah Baru 2 Lantai Murah Cimuncang View Kota Bandung, Cikutra, Bandung","Bandung, Cikutra",72,66,3,2
488,465000000,"Rumah Murah di Cilengkrang, Ujung berung Kota Bandung tImur diskon DP, Cilengkrang, Bandung","Bandung, Cilengkrang",74,36,2,1
489,698000000,"Rumah Strategis Di JL. Raya Ciwastra Dp Hanya 25 Juta, Ciwastra, Bandung","Bandung, Ciwastra",90,40,2,1
490,698000000,"Rumah Strategis Di JL. Raya Ciwastra , Kota Bandung Timur,Dp Hanya 25 Juta, Ciwastra, Bandung","Bandung, Ciwastra",90,40,2,1
491,750000000,"rumah Strategis di Margahayu, Soekarno Hatta Bandung Timur Harga Nego, Margahayu, Bandung","Bandung, Margahayu",,,,
492,630000000,"Rumah Idaman Strategis Di Arcmanik, Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",87,36,2,1
493,"71,046,000,000","Rumah strategis Di Kota Bandung DP 30 JTan Fasilitas Lengkap, Rancasari, Bandung","Bandung, Rancasari",72,42,2,1
494,900000000,"Rumah siap Huni strategis Di Cisaranten Arcamanik Bandung Timur, Harga Nego, Arcamanik, Bandung","Bandung, Arcamanik",162,60,3,2
495,900000000,"Rumah Murah Bandung,Arcamanik Endah, Bandung Timur Bebas Banjir, Arcamanik, Bandung","Bandung, Arcamanik",120,88,3,2
496,630000000,"Rumah Strategis Di Arcamanik Bandung Timur DP 10 %, Arcamanik, Bandung","Bandung, Arcamanik",87,36,2,1
497,491000000,"Rumah Murah Asri di Cisaranten-Arcamanik, Bandung Timur Promo DP 25 jutaan, Arcamanik, Bandung","Bandung, Arcamanik",82,38,2,1
498,"71,046,000,000","Rumah Minimalis Modern  Di Soekarno Hatta Bandung DisKon DP 50%, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",72,42,2,1
499,360000000,"Rumah Murah Minimalis Nuansa villa Dekat Exit Tol Cileunyi, Bandung Timur DP 20 Juta, Cileunyi, Bandung","Bandung, Cileunyi",42,72,2,1
500,360000000,"Rumah Murah Strategis Dekat Exit Tol Cileunyi, Bandung Timur DP 20 Juta, Cileunyi, Bandung","Bandung, Cileunyi",76,42,2,1
501,360000000,"Rumah Murah Strategis Dekat Exit Tol Cileunyi,bandung Timur, DP 20 JUTA, Cibiru, Bandung","Bandung, Cibiru",72,42,2,1
502,360000000,"Rumah Murah Idaman Nuansa Villa, di Cileunyi Bandung Timur DP 20 Juta, Cibiru, Bandung","Bandung, Cibiru",72,42,2,1
503,360000000,"Rumah Murah Idaman Dekat Exit Tol  Cileunyi Bandung Timur DP 20 Juta, Cileunyi, Bandung","Bandung, Cileunyi",72,42,2,1
504,360000000,"Rumah Nuansa Villa Dekat Exit Tol cileunyi,Bandung timur, Cileunyi, Bandung","Bandung, Cileunyi",72,42,2,1
505,750000000,"Rumah 2Lantai Lux view Kota Bandung Dekat Saungujo dan Bukit Moko, Padasuka, Bandung","Bandung, Padasuka",84,62,3,2
506,"1,59 M","The Billabong Soeta Modern Ethnic Residence, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",130,83,3,2
507,"3,5 M","Rumah Pinggir Jalan Raya Kopo Strategis dekat Pusat Kota Bandung, Kopo, Bandung","Bandung, Kopo",114,340,5,5
508,650000000,"Rumah Minimalis Kuldesak di Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",107,70,2,1
509,950000000,"Rumah Lux Minimalis di Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",84,100,3,2
510,425000000,"Rumah Minimalis Baru di Bandung Timur, Bandung Wetan, Bandung","Bandung, Bandung Wetan",72,45,2,1
511,"1,45 M","Rumah Bagus Minimalis di Bandung Timur dekat Hermina, Arcamanik, Bandung","Bandung, Arcamanik",90,115,4,2
512,950000000,"Rumah Lux Minimalis di Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",84,100,3,2
513,4 M,"Rumah Kost Murah Pahlawan Bandung, Cikutra, Bandung","Bandung, Cikutra",95,102,16,15
514,"3,65 M","Rumah Luas Besar Terawat Antapani Bandung, Antapani, Bandung","Bandung, Antapani",160,330,5,6
515,"1,35 M","Rumah Bagus Murah Strategis di Margahayu Metro Bandung, Margahayu, Bandung","Bandung, Margahayu",185,120,3,3
516,695000000,"Rumah Murah Strategis Minimalis di Metro Margahayu Bandung, Margahayu, Bandung","Bandung, Margahayu",77,60,3,2
517,700000000,"Rumah di lokasi bebas banjir Bandung Timur, Rancasari, Bandung","Bandung, Rancasari",72,50,2,1
518,"1,15 M","TURUN HARGA!! Rumah asri di Margahayu Raya, Margahayu, Bandung","Bandung, Margahayu",205,160,4,2
519,625000000,"RUmah di Kuldesak Bebas Banjir, Cibogo, Bandung","Bandung, Cibogo",90,80,2,1
520,690000000,"Rumah asri di Margahayu Raya, Margahayu, Bandung","Bandung, Margahayu",120,86,4,2
521,"1,35 M","Rumah Murah di Komp Griya Cikutra Bojong Koneng Bandung, Cikutra, Bandung","Bandung, Cikutra",112,140,4,4
522,"1,25 M","Rumah nyaman dan luas daerah Margahayu, Bandung Timur, Margahayu, Bandung","Bandung, Margahayu",173,300,8,4
523,350000000,"Rumah Minimalis dan Murah di Ujung Berung, Bandung Timur,, Ujungberung, Bandung","Bandung, Ujungberung",84,72,2,2
524,700000000,"Rumah Adipura, Cluster Pinus, Gede Bage, bandung Timur, Gede Bage, Bandung","Bandung, Gede Bage",90,70,,
525,"1,8 M","Rumah Puri Dago Antapani, Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",143,150,1,2
526,700000000,"Rumah di Jalan Jakarta, Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",72,150,4,3
527,750000000,"Rumah di Griya Cempaka Arum Adalus, Gede Bage, Bandung Timur, Gede Bage, Bandung","Bandung, Gede Bage",84,64,2,1
528,800000000,"Rumah Kos di Jalan Cidurian Utara, Buah Batu, Bandung Timur, Buah Batu, Bandung","Bandung, Buah Batu",71,150,8,5
529,900000000,"Rumah Grand Sharon, Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",88,45,2,1
530,"1,4 M","Rumah Puri Dago Raya, Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",140,140,3,2
531,"1,3 M","Rumah di Jalan Senam, Arcamanik, Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",99,200,2,2
532,"5,885,000,000","Bandung Timur Perumahan Baru Exclusive Murah Derwati Mas, Buah Batu, Bandung","Bandung, Buah Batu",90,45,2,1
533,650000000,"Rumah Sejuk di PADASUKA Akses LEbar dan Tanah Luas Tanpa BI Cheking, Bandung Kota, Bandung","Bandung, Bandung Kota",125,36,2,1
534,460000000,"Rumah Siap huni Sejuk Tanpa KPR dan BI cheking Murah di Cilengkrang, Cibiru, Bandung","Bandung, Cibiru",72,36,2,1
535,550000000,"Rumah Baru Cilengkrang DP 30Juta dan Gratis Biaya KPR, Bandung Kota, Bandung","Bandung, Bandung Kota",72,36,2,1
536,399000000,"Rumah Second Murah Banget Dekat Saung ujo padasuka dan terminal Cicaheum, Cicaheum, Bandung","Bandung, Cicaheum",72,36,2,1
537,642000000,"Rumah DP 30juta Margahayu Raya Dekat Metro dan Tanah Luas, Margahayu, Bandung","Bandung, Margahayu",128,45,2,1
538,640000000,"Rumah lux Dengan Suasana nyaman Cilengkrang dekat Cipadung dan Pangaritan, Cilengkrang, Bandung","Bandung, Cilengkrang",84,45,2,1
539,"1,38 M","Rumah Lux TengahKota dekat ke Cikutra, Antapani dan awiligar, Cicaheum, Bandung","Bandung, Cicaheum",100,80,3,2
540,612000000,"Rumah hook di Ciwastra Akses dekat Tol Gedebage Dan DP 30 Juta, Ciwastra, Bandung","Bandung, Ciwastra",91,36,2,1
541,497000000,"Rumah Baru hook di Cicaheum kota tanah Luas DP 30Juta All in, Cicaheum, Bandung","Bandung, Cicaheum",119,30,2,1
542,580000000,"Rumah Siap huni di Sayap Grand Sharon dan Dekat Ke Summarecon, Rancasari, Bandung","Bandung, Rancasari",78,36,2,1
543,688000000,"Rumah baru margahayu metro dekat Al Islam Dp 40juta all in, Margacinta, Bandung","Bandung, Margacinta",74,40,2,1
544,581000000,"Rumah Baru Siap huni di Bandung Timur DP 30 Juta dan Bonus Garasi, Arcamanik, Bandung","Bandung, Arcamanik",79,36,2,1
545,907000000,"Rumah konsep Minimalis Modern 2 Lantai di Arcamanik Atas bisa KPR, Arcamanik, Bandung","Bandung, Arcamanik",112,60,3,2
546,523000000,"Rumah Baru di Ciwastra Dekat Margahayu dan batu Raden, Ciwastra, Bandung","Bandung, Ciwastra",72,36,2,1
547,758000000,"Rumah Baru DP 40 Juta All in di Saturnus Regency Bandung, Margacinta, Bandung","Bandung, Margacinta",40,84,2,1
548,723000000,"Rumah Siap huni dekat Soekarno Hatta dan Borma Riung DP Ringan, Rancasari, Bandung","Bandung, Rancasari",104,45,2,1
549,530000000,"Rumah baru di Ujungberung Bangunan Baru View Kota DP ringan, Ujungberung, Bandung","Bandung, Ujungberung",81,36,2,1
550,860000000,"Rumah over Kredit Hook Tanah Luas Nuansa Timur tengah di Ciwastra, Derwati, Bandung","Bandung, Derwati",164,50,2,1
551,639000000,"Rumah minimalis Hook Tanah Luas di Arcamanik DP 30Juta all in, Arcamanik, Bandung","Bandung, Arcamanik",127,36,2,1
552,460000000,"Rumah Baru Siap huni Cinunuk bisa Over Kredit Tanpa KPR dan BI Cheking, Cibiru, Bandung","Bandung, Cibiru",45,84,2,1
553,430000000,"Rumah Baru di Ciwastra Harga Perdana DP 20 Juta dan free Biaya KPR, Ciwastra, Bandung","Bandung, Ciwastra",72,36,2,1
554,850000000,"Rumah Lux Tanah Luas Hanya 50 Meter ke jalan Margacinta, Margacinta, Bandung","Bandung, Margacinta",126,54,3,1
555,651000000,"Rumah Baru Ready Stock di Sindanglaya Dekat Ke Anpani dan Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",96,45,2,1
556,450000000,"Rumah Over kredit murah Tanpa KPR dan BI Cheking langsung Huni, Ciwastra, Bandung","Bandung, Ciwastra",84,40,2,1
557,450000000,"Rumah over Kredit Siap huni di Ciwastra Tanpa KPR dan BI Cheking, Ciwastra, Bandung","Bandung, Ciwastra",84,45,2,1
558,606000000,"Rumah Baru di Bandung Timur Siap huni DP 30 Juta Tanpa Biaya KPR, Rancasari, Bandung","Bandung, Rancasari",81,36,2,1
559,524000000,"Rumah Baru di Bandung Tengah Dekat Logam dan STT Telkom, Bojongsoang, Bandung","Bandung, Bojongsoang",72,36,2,1
560,524000000,"Rumah Baru di Ciganitri Buahbatu Proses KPR Mudah dan Cepat, Bojongsoang, Bandung","Bandung, Bojongsoang",72,36,2,1
561,550000000,"Rumah Siap huni Over kredit Tanpa KPR di Buana Ciwastra, Ciwastra, Bandung","Bandung, Ciwastra",88,50,2,1
562,410000000,"Rumah Sudah Renov Ujungberung Tanpa BI Cheking &amp; Tanpa KPR, Ujungberung, Bandung","Bandung, Ujungberung",60,33,2,1
563,1 M,"Rumah di Antapani Dekat Ke Jalan Jakarta dan Kiaracondong Murah, Antapani, Bandung","Bandung, Antapani",117,125,4,2
564,550000000,"Rumah Take Over di Ciwastra Tanah Luas Langsung Huni, Ciwastra, Bandung","Bandung, Ciwastra",88,45,2,1
565,582000000,"Rumah Ready Stock Ujungberung view Bagus dan Bonus Khusus, Ujungberung, Bandung","Bandung, Ujungberung",93,45,2,1
566,520000000,"Rumah Baru Di Dekat Borma Margacinta dan Logam DP ringan, Margacinta, Bandung","Bandung, Margacinta",65,36,2,1
567,731000000,"rumah nyaman keluarga anda di sukarno hatta, bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",72,42,2,1
568,"71,046,000,000","Rumah Murah di Bandung Bebas Banjir, Bandung Kota, Bandung","Bandung, Bandung Kota",72,42,2,1
569,"1,92 M","Rumah Mewah Di Kota Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",180,120,3,2
570,"1,01 M","Rumah Murah Bebas Banjir, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",108,52,2,1
571,"1,2 M","Rumah bangunan masih baru , sejuk, dan murah 2 lt di ujungberung Kota Bandung, Ujungberung, Bandung","Bandung, Ujungberung",99,110,3,3
572,"1,7 M","Rumah murah di Margahayu Raya Bandung, Margahayu, Bandung","Bandung, Margahayu",271,190,4,3
573,800000000,"Rumah di Komplek Cipaganti,Ciwastra, Cipaganti, Bandung","Bandung, Cipaganti",130,60,2,2
574,"25,245,000,000","Harga Rumah murah di Jatinangor Bandung Timur, Jatinangor, Sumedang","Sumedang, Jatinangor",48,32,1,1
575,"2,7 M","Rumah kost di bandung timur, Jatinangor, Bandung","Bandung, Jatinangor",120,264,12,12
576,"1,5 M","Murah Rumah di Jatihandap, Bandung Timur Harga 1,5M, Cibeunying, Bandung","Bandung, Cibeunying",218,130,3,2
577,"1,5 M","Rumah Cantik di Jatihandap, Bandung Timur, Cicaheum, Bandung","Bandung, Cicaheum",160,250,4,3
578,675000000,"Rumah Belakang Kampus UIN Sunan Gunung Djati - Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",110,70,4,2
579,875000000,"Rumah murah sekitar Manisi(Cibiru)-Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",92,180,5,2
580,720000000,"Rumah baru Cantik daerah  Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",50,120,2,1
581,400000000,"Rumah murah di bandung Timur, Cibiru, Bandung","Bandung, Cibiru",78,100,3,1
582,875000000,"Rumah murah sekitar Manisi(Cibiru)-Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",180,92,5,2
583,6 M,"rumah mewah dan cantik siap huni lokasi sangat strategis, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",268,500,5,4
584,637000000,"Rumah cluster 2 lt murah di padasuka cimenyan bandung, Padasuka, Bandung","Bandung, Padasuka",66,72,2,2
585,350000000,"rumah impian alam sejuk cileunyi bandung timur, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
586,410000000,"Rumah siap huni cinunuk lestari bandung timur suasana asri perbukitan, Cibiru, Bandung","Bandung, Cibiru",72,36,2,1
587,"1,2 M","Rumah murah cijambe indah ujungberung bandung timur nego aja, Antapani, Bandung","Bandung, Antapani",169,240,5,5
588,"1,1 M","Rumah murah minimalis antapani arcamanik bandung timur, Antapani, Bandung","Bandung, Antapani",124,100,3,2
589,"1,3 M","Rumah lama terawat murah antapani arcamanik bandung timur lihat dulu aja, Antapani, Bandung","Bandung, Antapani",156,200,5,2
590,315000000,"Rumah 2 lantai syariah cilengkrang ujung berung tanpa riba, sita, denda, bi checking, Cilengkrang, Bandung","Bandung, Cilengkrang",70,45,3,2
591,"1,4 M","rumah hitung tanah 352m2 metro margahayu harus laku bulan ini, Margahayu, Bandung","Bandung, Margahayu",352,200,4,2
592,690000000,"Rumah termurah 2lantai hoek metro margahayu sudah renovasi, Margahayu, Bandung","Bandung, Margahayu",108,120,5,2
593,750000000,"Cluster Padasuka, dkt Gedung sate, Gasibu, Terminal Cicaheum 2 Lantai, Bandung Kota, Bandung","Bandung, Bandung Kota",84,62,3,2
594,4 M,"rumah di sindanglaya, Bandung Kota, Bandung","Bandung, Bandung Kota",1660,500,5,5
595,"2,5 M","rumah villa bandung indah,bandung timur, Cileunyi, Bandung","Bandung, Cileunyi",900,350,5,3
596,750000000,"RUMAH CLUSTER, SECOND, 2 LANTAI DAN SIAP HUNI DI UJUNG BERUNG, BANDUNG TIMUR., Ujungberung, Bandung","Bandung, Ujungberung",136,220,4,2
597,"2,2 M","Rumah Bernuansa Maroko Dan Siap Huni Di Arcamanik Bandung, Arcamanik, Bandung","Bandung, Arcamanik",375,200,2,2
598,"2,2 M","Rumah Plus Kost2an Di Sayap Ciwastra, Bandung Timur, Ciwastra, Bandung","Bandung, Ciwastra",296,450,10,5
599,"1,85 M","Rumah Kompleks Dan Siap Huni Di Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",200,150,4,2
600,"1,7 M","Rumah 2 Lantai Dan Siap Huni Di Cibiru, Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",128,248,5,6
601,"1,75 M","Rumah Dalam Kompleks Elite Dan Siap Huni Di Antapani Bandung, Antapani, Bandung","Bandung, Antapani",114,131,3,2
602,"1,5 M","Rumah Baru Dan Siap Huni Di Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",121,130,4,2
603,"1,58 M","Rumah Nyaman Dan Siap Huni Di Cibiru, Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",228,245,5,4
604,"1,3 M","Rumah Kostan Aktif Di Sayap Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",198,345,20,15
605,"1,3 M","Rumah Siap Huni Dalam Kompleks, Di Soekarno Hatta, Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",140,120,3,3
606,"1,2 M","Rumah Baru Dan Siap Huni Di Cisaranten, Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,150,3,2
607,"1,3 M","Rumah Cluster Dan Siap Huni Di Cibiru, Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",238,254,4,3
608,900000000,"Rumah Cluster Siap Huni Di Padasuka, Bandung Timur, Padasuka, Bandung","Bandung, Padasuka",98,78,4,4
609,1 M,"Rumah Dalam Kompleks & Siap Huni Di Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",120,80,3,1
610,780000000,"Rumah Murah & Siap Huni Dalam Perumahan Di Cileunyi Bandung, Cileunyi, Bandung","Bandung, Cileunyi",105,54,2,1
611,"7,578,000,000","Rumah Cluster 2 Lantai Dan Siap Huni Di Cipadung, Bandung, Cibiru, Bandung","Bandung, Cibiru",98,90,3,2
612,870000000,"RUMAH BARU DAN SIAP HUNI DI CISARANTEN, ARCAMANIK, BANDUNG TIMUR, Arcamanik, Bandung","Bandung, Arcamanik",100,200,3,2
613,875000000,"Rumah Minimalis 2 Lantai Siap Huni Di Cileunyi, Bandung, Cileunyi, Bandung","Bandung, Cileunyi",77,120,3,1
614,866000000,"Rumah Baru Dalam Cluster Di Padasuka, Bandung Timur, Cicaheum, Bandung","Bandung, Cicaheum",79,75,3,2
615,795000000,"RUMAH CLUSTER BARU; MURAH DAN SIAP HUNI DI JATIHANDAP, CICAHEUM BANDUNG TIMUR, Cicaheum, Bandung","Bandung, Cicaheum",110,70,3,2
616,570000000,"RUMAH BARU DAN SIAP HUNI DI ANTAPANI, BANDUNG TIMUR, Antapani, Bandung","Bandung, Antapani",60,60,3,2
617,600000000,"Rumah Cluster, Murah Di Antapani, Bandung Timur, Antapani, Bandung","Bandung, Antapani",100,48,2,1
618,600000000,"RUMAH CLUSTER MODEL MINIMALIS, CANTIK DAN ASRI DENGAN VIEW KOTA BANDUNG, DI PADASUKA, BANDUNG TIMUR, Padasuka, Bandung","Bandung, Padasuka",60,100,3,2
619,600000000,"Rumah Siap Huni Di Sayap Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",100,120,4,2
620,750000000,"Rumah Siap Huni Di Soekarno Hatta, Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",131,110,4,2
621,625000000,"rumah siap huni, Margacinta, Bandung","Bandung, Margacinta",84,60,2,1
622,680000000,"Rumah bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",133,120,4,2
623,"1,65 M","rumah baru, Antapani, Bandung","Bandung, Antapani",105,100,3,2
624,"1,1 M","Rumah Apik Murah Dalam Komplek di Arcamanik Bandung, Arcamanik, Bandung","Bandung, Arcamanik",175,120,3,2
