No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
210,450000000,"Rumah minimalis Bandung, Cileunyi, dkt IPDN, UNPAD, ITB, DP 20 Juta, cclan 3 jt/bln, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
211,450000000,"Rumah minimalis mewah murah, Cileunyi, Bandung, dkt IPDN cclan 3 jt/bln, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
212,450000000,"Rumah minimalis di Bandung, CIleunyi, dkt IPDN, cicilan 3 jt/bln, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
213,450000000,"Rumah minimalis di Cileunyi, Bandung, DP 20 Juta, cicilan 3 Jt/bln, dkt IPDN, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
214,450000000,"Rumah minimalis, Bandung, DP 20 Juta, Cicilan 3 JT/bln, dkt IPDN, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
215,450000000,"Rumah minimalis mewah Cileunyi, DP HANYA 20 Juta, Cicilan 3 JT/bln, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
216,450000000,"Rumah minimalis murah Bandung, Cileunyi, DP 20 Juta, cicilan 3 jt/bln, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
217,890000000,"Rumah siap Huni di Setra Dago Antapani, Antapani, Bandung","Bandung, Antapani",56,114,2,1
218,"2,2 M","Rumah Siap Huni di Cluster Permata Arcamanik bandung, Arcamanik, Bandung","Bandung, Arcamanik",335,230,4,3
219,"97,525,000,000","rumah mewah di cimahi, dekat pusat Pemkot Cimahi, Cimahi Utara, Cimahi","Cimahi, Cimahi Utara",120,65,3,2
220,"97,825,000,000","rumah di cimahi utara, konsep rumah villa modern minimalis, Cimahi Utara, Cimahi","Cimahi, Cimahi Utara",120,65,3,2
221,"97,825,000,000","hanya 15 menit ke pusat kota cimahi, rumah di cimahi bandung, Cimahi Utara, Cimahi","Cimahi, Cimahi Utara",120,65,3,2
222,"97,825,000,000","rumah cimahi utara, berdampingan dengan alam wisata cimahi, Cimahi Utara, Cimahi","Cimahi, Cimahi Utara",120,65,3,2
223,"97,525,000,000","Rumah murah Orchard Residence, dengan sejuknya alam pegunungan, Cimahi, Bandung","Bandung, Cimahi",120,65,3,2
224,4 M,"Rumah Villa Mewah kayu Jati asli daerah bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",1660,500,5,5
225,575000000,"Rumah Cluster dekat terminal Cicaheum dan Antapani Bandung timur, Cicaheum, Bandung","Bandung, Cicaheum",95,120,3,2
226,850000000,"Rumah Siap huni di Cisaranten Arcamanik Bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",150,85,3,2
227,4 M,"Rumah Villa Mewah Cantik Kayu Jati Asli Daerah Sindanglaya, Arcamanik, Bandung","Bandung, Arcamanik",1660,500,5,5
228,375000000,"Rumah Cluster MURAH di Cicaheum dekat Antapani Bandung timur, Cicaheum, Bandung","Bandung, Cicaheum",108,60,2,1
229,4 M,"Rumah Villa Cantik Minimalis View Kota Bandung Indah, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
230,505000000,"Rumah Cantik di Arcamanik harga Ciamik, Arcamanik, Bandung","Bandung, Arcamanik",86,50,2,1
231,4 M,"Rumah Mewah Villa Kayu Jati Asli Daerah Sindanglaya, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
232,4 M,"Rumah Villa Mewah Kayu Jati Asli Cocok Untuk Penginapan Investasi semakin Meningkat Dengan view Kota Bandung Indah, Ujungberung, Bandung","Bandung, Ujungberung",1660,500,5,5
233,4 M,"Rumah Villa Mewah Kayu Jati asli View Kota Bandung Indah, Lembang, Bandung","Bandung, Lembang",1660,500,5,5
234,1 M,"Rumah Minimalis Bandung timur Plaza dekat ke Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",120,130,3,3
235,1 M,"Rumah Minimalis komplek Mainroad Ujung berung-cocok juga untuk kantor, Ujungberung, Bandung","Bandung, Ujungberung",120,140,3,3
236,180000000,"Rumah murah DP cicilan ringan kualitas super di ciparay bandung, Ciparay, Bandung","Bandung, Ciparay",60,30,2,1
237,"2,7 M","Rumah Baru MURAH  siap huni cantik minimalis di arcamanik antapani bandung, Arcamanik, Bandung","Bandung, Arcamanik",240,270,4,3
238,932000000,"Rumah Cluster kualitas super 2lantai murah nyaman dan asri kota Bandung, Cicaheum, Bandung","Bandung, Cicaheum",83,75,3,2
239,349000000,"Rumah murah Bandung Timur tanpa bunga, Cilengkrang, Bandung","Bandung, Cilengkrang",84,45,2,1
240,895000000,"rumah murah cantik minimalis aman dan nyaman di arcamanik antapani bandung, Arcamanik, Bandung","Bandung, Arcamanik",156,80,2,1
241,495000000,"rumah murah minimalis cantik alami asri dan nyaman cilengkrang bandung, Cilengkrang, Bandung","Bandung, Cilengkrang",110,54,3,1
242,999000000,"rumah murah strategis dekat pusat kota padasuka bandung, Cicaheum, Bandung","Bandung, Cicaheum",120,105,3,2
243,668000000,"cluster exlusive bandung timur harga perdana DP mulai 10jtaan cicilan 6jtaan, Gede Bage, Bandung","Bandung, Gede Bage",79,45,2,1
244,400000000,"Rumah murah nuansa villa dekat kampus IPDN dan Toll cileunyi Bandung, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
245,613000000,"rumah murah kawasan masadepan Bandung timur DP 60jtan cicilan 6jtaan, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",72,42,2,1
246,882000000,"Rumah Villa Murah strategis dekat kampus UNPAD Jatinangor Bandung, Cileunyi, Bandung","Bandung, Cileunyi",117,60,3,2
247,"2,5 M","Rumah cantik komplek elit tengah kota bandung, Buah Batu, Bandung","Bandung, Buah Batu",194,190,3,3
248,884000000,"Rumah murah elit 2 lantai town house di tengah kota bandung, Margahayu, Bandung","Bandung, Margahayu",83,83,3,3
249,733000000,"rumah cluster exlusive fasilitas lengkap kawasan terbesar Bandung timur, Bandung Kota, Bandung","Bandung, Bandung Kota",90,45,2,1
250,185000000,"Rumah murah DP ringan tanpa survei BI ceking langsung ACC di bandung, Cibaduyut, Bandung","Bandung, Cibaduyut",60,45,2,1
251,932000000,"Rumah murah 2lantai cantik minimalis aman dan nyaman di kota bandung, Cicaheum, Bandung","Bandung, Cicaheum",83,75,3,3
252,780000000,"Rumah murah ini minimalis desain minimalis aman dan nyaman, Cileunyi, Bandung","Bandung, Cileunyi",105,54,2,1
253,"3,2 M","rumah kost murah omset besar dekat kampus UIN cibiru bandung timur, Cibiru, Bandung","Bandung, Cibiru",514,250,30,8
254,217000000,"Rumah murah meriah 200 juta an di Rancamanyar Bandung, Cibaduyut, Bandung","Bandung, Cibaduyut",70,45,2,1
255,"1,25 M","RUMAH MODERN DI BANDUNG TIMUR, Cibiru, Bandung","Bandung, Cibiru",238,250,4,3
256,500000000,"rumah cantik minimalis di pasir impun ujung berung bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",90,40,2,1
257,4 M,"Villa mewah interior kayu jati asli. di bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",1660,500,5,5
258,4 M,"Rumah konsep villa meng timurwah full kayu jati di bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",1660,500,5,5
259,4 M,"villa di bandung timur interior full kayu jati asli, Arcamanik, Bandung","Bandung, Arcamanik",1660,550,5,5
260,950000000,"Rumah Cluster Minimalis View Kota Bebas Banjir di Jatihandap Cimenyan Bandung  Timur, Cimenyan, Bandung","Bandung, Cimenyan",200,180,4,31
261,440000000,"Pesanggrahan Ujung Berung Bandung Investasi menguntungkan Rumah Bebas Banjir, Ujungberung, Bandung","Bandung, Ujungberung",92,45,2,1
262,"1,1 M","Murah Rumah Komplek Kawaluyaan Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",144,220,5,3
263,"1,2 M","Rumah Arcamanik Murah & Menarik, Arcamanik, Bandung","Bandung, Arcamanik",110,150,3,2
264,"4,5 M","Rumah Bagus Nuansa Bali di Arcamanik Bandung, Arcamanik, Bandung","Bandung, Arcamanik",400,480,5,5
265,925000000,"MURAH Rumah Layak Huni Hitung Tanah Saja di Kawaluyaan Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",175,60,3,2
266,"1,98 M","Rumah Asri Terawat di Sanggar Hurip Soekarno Hatta Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",294,232,5,3
267,"1,55 M","Rumah Bagus Lokasi Strategis Di Puri Dago Antapani Bandung, Antapani, Bandung","Bandung, Antapani",114,131,3,3
268,"2,9 M","Rumah LUX di Margahayu Raya Bandung, Margahayu, Bandung","Bandung, Margahayu",187,280,4,2
269,"1,08 M","Rumah Benuansa Bali Di Bandung, Bandung Kota, Bandung","Bandung, Bandung Kota",91,83,3,2
270,"1,08 M","Rumah Di Kota Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",91,83,3,2
271,"1,38 M","Hunian Eksklusif Di Bandung, Bandung Kota, Bandung","Bandung, Bandung Kota",126,90,3,3
272,"1,08 M","Hunian Asri Dan Nyaman The Billabong Soeta, Antapani, Bandung","Bandung, Antapani",91,83,3,2
273,"1,08 M","Hunian Mewah Siap Huni, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",91,83,3,3
274,"1,38 M","Rumah Bernuansa Bali Di Bandung Timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",126,90,4,4
275,"98,967,000,000","Hunian Eksklusif Yang Nyaman, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",91,83,3,2
276,"98,967,000,000","Rumah Nyaman Di Bandung, Bandung Kota, Bandung","Bandung, Bandung Kota",91,83,3,2
277,"1,59 M","Hunian Nyaman Di Bandung Timur, Bandung Kota, Bandung","Bandung, Bandung Kota",130,83,3,2
278,"1,08 M","Rumah Bernuansa Bali Di Kota Bandung, Bandung Kota, Bandung","Bandung, Bandung Kota",91,83,3,2
279,"1,59 M","Rumah eksklusif di kota Bandung The Billabong Soeta, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",130,83,3,2
280,"1,08 M","Rumah Murah di Bandung Timur &#34;THE BILLABONG SOETA&#34;, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",91,83,3,2
281,"1,38 M","Hunian eksklusif di Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",126,90,4,4
